Title,City or Town,County or Parish,Street Address,Year Erected,Erected By,Link
Salem,Marshall,Fauquier County,4110 Warrenton Road,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=1183
Battle of Cool Spring,Berryville,Clarke County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=1201
Crook and Early,Berryville,Clarke County,,1929,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=1204
J. R. Clifford,Martinsburg,Berkeley County,515 W Martin St.,2003,West Virginia Celebration 2000 and the West Virginia Division of Archives and History.,http://www.hmdb.org/m.asp?m=1210
Mile Hill,Leesburg,Loudoun County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=1219
1862 Antietam Campaign,Leesburg,Loudoun County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1220
Bel Air,Bel Air,Harford County,,,,http://www.hmdb.org/m.asp?m=1227
The Plains,The Plains,Fauquier County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=1237
Rock Run,Havre de Grace,Harford County,,,Maryland Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=1242
Campaign of Second Manassas,The Plains,Fauquier County,,1928,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=1250
Harry Gilmor s Raid,Joppatowne,Harford County,,,State Roads Commission,http://www.hmdb.org/m.asp?m=1252
Brentmoor: The Spilman-Mosby House,Warrenton,Fauquier County,173 Main Street,2006,(Virginia) Department of Historic Resources,http://www.hmdb.org/m.asp?m=1262
Susquehanna Lower Ferry,Havre de Grace,Harford County,,1985,The City of Havre de Grace in celebration of its Bicentennial,http://www.hmdb.org/m.asp?m=1275
John Singleton Mosby,Warrenton,Fauquier County,,,,http://www.hmdb.org/m.asp?m=1292
The Dahlgren Chapel,Zittlestown,Washington County,,,,http://www.hmdb.org/m.asp?m=1297
Warren County/Fauquier County,Linden,Warren County,,1997,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1324
Mosby s Rangers Disband Site,Marshall,Fauquier County,8372 West Main Street,,,http://www.hmdb.org/m.asp?m=1325
Lee s Narrow Escape,Marshall,Fauquier County,8405 W Main St,1997,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1357
Campaign of Second Manassas,Marshall,Fauquier County,8405 W Main St,1928,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=1358
Signal Station,Millwood,Clarke County,,,,http://www.hmdb.org/m.asp?m=1398
Brig. Gen. Turner Ashby. C.S.A.,Markham,Fauquier County,,1997,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1399
Lee s Bivouac. Gettysburg Campaign,Markham,Fauquier County,,1997,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1400
Jackson s Bivouac,Paris,Fauquier County,,1996,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1401
Gettysburg Campaign,Dover,Loudoun County,,1998,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1416
Stuart and Bayard,Dover,Loudoun County,,1996,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1453
Cavalry Battles,Dover,Loudoun County,,,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1454
Camp Wabash,Wabash,Wabash County,,1962,Indiana Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=1456
Mosby s Rangers,Atoka,Fauquier County,,1962,Virginia State Library,http://www.hmdb.org/m.asp?m=1467
Welbourne,Atoka,Fauquier County,,1995,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1470
Battle of Middleburg,Middleburg,Loudoun County,,1997,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1471
Ball s Bluff Masked Battery,Leesburg,Loudoun County,,2005,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1491
Bennett Place,Durham,Durham County,4409 Bennett Memorial Road,1962,Department of Archives and History,http://www.hmdb.org/m.asp?m=1495
Cavalry Action at Buckhead Church,Perkins,Jenkins County,,1958,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=1496
Confederate Prison Camp,Blackshear,Pierce County,,1956,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=1501
Ball s Bluff Masked Battery,Leesburg,Loudoun County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=1517
Battle at South Mountain,Middletown,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1519
1862 Antietam Campaign,Zittlestown,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1520
19th Century Backpacker,Bolivar,Frederick County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1521
Civil War Star Fort,Vienna,Fairfax County,330 North Center Street,,Civil War Trails,http://www.hmdb.org/m.asp?m=1527
Richfield,Frederick,Frederick County,,,,http://www.hmdb.org/m.asp?m=1539
Thurmont,Thurmont,Frederick County,,,,http://www.hmdb.org/m.asp?m=1540
Battle of Front Royal,Front Royal,Warren County,,1927,Wm Richardson Camp. U.C.V.,http://www.hmdb.org/m.asp?m=1541
Guilford Signal Station,Sterling,Loudoun County,21544 Old Vestals Gap Road,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=1543
Leesburg,Leesburg,Loudoun County,16 Loudoun Street,,Civil War Trails,http://www.hmdb.org/m.asp?m=1544
Emmitsburg,Emmitsburg,Frederick County,,,,http://www.hmdb.org/m.asp?m=1546
Battle of Aldie,Aldie,Loudoun County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=1547
Middleburg,Middleburg,Loudoun County,,1998,Civil War Trails,http://www.hmdb.org/m.asp?m=1548
Attack at Goose Creek Bridge,Upperville,Loudoun County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=1549
Upperville,Upperville,Fauquier County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=1550
Haymarket During the Civil War,Haymarket,Prince William County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=1551
Brother Against Brother,Front Royal,Warren County,,1932,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=1552
Ambush at Ewell s Chapel,Haymarket,Prince William County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=1562
William Randolph Barbee,Panorama,Page County,,1972,Virginia Historic Landmarks Commission,http://www.hmdb.org/m.asp?m=1571
Confederate Prison,Salisbury,Rowan County,,1936,State Historical Commission,http://www.hmdb.org/m.asp?m=1583
John Wilkes Booth,Port Royal,Caroline County,,1937,Conservation and Development Commission,http://www.hmdb.org/m.asp?m=1584
"Headquarters of Generals Robert E. . ""Stonewall"" Jackson and Longstreet Sept. 6-9. 1862.",Frederick,Frederick County,,,State Roads Commission,http://www.hmdb.org/m.asp?m=1589
Turners Pass Tablet T. P. 1,Zittlestown,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=1594
Turners Pass Tablet T. P. 2,Zittlestown,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=1595
Turners Pass Tablet T. P. 3,Zittlestown,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=1596
Turners Pass Tablet T. P. 4,Zittlestown,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=1597
Turners Pass Tablet T. P. 5,Zittlestown,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=1598
Turners Pass Tablet T. P. 6,Zittlestown,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=1599
Gettysburg Campaign,Sterling,Loudoun County,,1931,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=1608
Potomac Crossings,Leesburg,Loudoun County,,1929,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=1609
Battle of Boonsboro,Boonsboro,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1630
Keedysville,Keedysville,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1640
Laura Ratcliffe,Herndon,Fairfax County,,2007,the Department of Historic Resources,http://www.hmdb.org/m.asp?m=1642
Freeman Store and Museum,Vienna,Fairfax County,131 Church Street NE,,Civil War Trails,http://www.hmdb.org/m.asp?m=1643
On June 17. 1861,Vienna,Fairfax County,,1975,the Potomac Chapter. National Railroad Historical Society in June,http://www.hmdb.org/m.asp?m=1646
Lee s Position,Fredericksburg,Fredericksburg,,2000,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1654
The Gallant Pelham,Fredericksburg,Spotsylvania County,10748 Tidewater Trail,1992,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1656
Robert McAfee House,Marietta,Cobb County,,1954,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=1662
UDC and Kennesaw House,Marietta,Cobb County,,1956,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=1665
Sisters of the Holy Cross,Mishawaka,St. Joseph County,5215 Holy Cross Parkway,1965,Indiana Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=1669
Chatham,Chatham Heights,Stafford County,,1928,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=1670
Battles of Fredericksburg,Fredericksburg,Fredericksburg,,2000,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1672
Little Falls,Fredericksburg,Stafford County,,1994,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1674
The Fifth Corps. Army of the Potomac,Fredericksburg,Fredericksburg,,1901,Major General Daniel Butterfield. U.S.V.,http://www.hmdb.org/m.asp?m=1677
Barnesville,Barnesville,Montgomery County,18230 Barnesville Rd,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1678
White s Ferry,Dawsonville,Montgomery County,16505 Darnestown Road,,Maryland Historical Society,http://www.hmdb.org/m.asp?m=1680
Beallsville,Beallsville,Montgomery County,19800 Darnestown Road,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1681
Mt. Ephraim Crossroads,Comus,Montgomery County,23900 Old Hundred Road,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1683
Darnestown,Darnestown,Montgomery County,14211 Darnestown Road,,,http://www.hmdb.org/m.asp?m=1684
Gaithersburg,Gaithersburg,Montgomery County,506 South Frederick Avenue,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1709
Cox House,Bellvue,Spotsylvania County,4017 Lafayette Blvd,1995,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1713
Longstreet s Winter Headquarters,Bellvue,Spotsylvania County,,2002,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1715
Road to Guinea Station,Massaponax,Spotsylvania County,,1993,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1717
Federal Raid,Massaponax,Spotsylvania County,,2002,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1718
Massaponax Baptist Church,Massaponax,Spotsylvania County,,1991,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1719
Mud Tavern,Thornburg,Spotsylvania County,,1932,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=1720
Summit Hall Farm,Gaithersburg,Montgomery County,506 South Frederick Avenue,,City of Gaithersburg,http://www.hmdb.org/m.asp?m=1721
Stanard s Mill,Thornburg,Spotsylvania County,,2002,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1722
Lee s Winter Headquarters,Artillery Ridge,Spotsylvania County,,2002,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1724
Massaponax Church,Massaponax,Spotsylvania County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=1726
Hyattstown,Hyattstown,Montgomery County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1727
Poolesville,Poolesville,Montgomery County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1729
Poolesville,Poolesville,Montgomery County,,,,http://www.hmdb.org/m.asp?m=1730
Buckeystown Park,Buckeystown,Frederick County,7221 Michaels Mill Road,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1737
Carrollton Manor,Adamstown,Frederick County,,,,http://www.hmdb.org/m.asp?m=1738
Landon House,Urbana,Frederick County,3401 Urbana Pike,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1739
Double Tollgate,White Post,Clarke County,3848 Stonewall Jackson Highway,1999,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1751
J.E.B. Stuart at Munson s Hill,Seven Corners,Fairfax County,,1992,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1778
Battle of Berryville,Berryville,Clarke County,240 Westwood Road,1999,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1781
Clark County / Frederick County,Winchester,Frederick County,,1929,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=1784
Berryville Wagon Train Raid,Berryville,Clarke County,,1997,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1785
Lee s Bivouac,Berryville,Clarke County,,1997,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1786
Berryville,Berryville,Clarke County,317 West Main Street,1930,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=1788
Mosby s Rangers,Sterling,Loudoun County,,,Potomac Historical Society,http://www.hmdb.org/m.asp?m=1794
Jackson s Valley Campaign,Ivy,Albemarle County,,2002,Department of Historic Resource[s],http://www.hmdb.org/m.asp?m=1797
Berryville,Berryville,Clarke County,,1997,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1811
The Briars,Boyce,Clarke County,,1997,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1815
Fight at Gold s Farm,Berryville,Clarke County,,,J.E.B. Stuart Camp of the Confederate Veterans,http://www.hmdb.org/m.asp?m=1816
Vinyard Fight,Millwood,Clarke County,,,J.E.B. Stuart Camp of the Confederate Veterans,http://www.hmdb.org/m.asp?m=1819
Buck Marsh Fight,Berryville,Clarke County,,,J.E.B. Stuart Camp of the Confederate Veterans,http://www.hmdb.org/m.asp?m=1834
Mt. Airy Fight,Berryville,Clarke County,,,J.E.B. Stuart Chapter of the Confederate Veterans,http://www.hmdb.org/m.asp?m=1838
28th Regiment USCT,Indianapolis,Marion County,,2005,Indiana Historical Bureau. Indiana War Memorials Commission. Andrew & Esther Bowman. and African American Landmarks Committee of Historic Landmarks Foundation of Indiana. Inc.,http://www.hmdb.org/m.asp?m=1845
Millwood,Millwood,Clarke County,2009 Millwood Road,1999,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1850
Calvin Fletcher,Indianapolis,Marion County,,2006,Indiana Historical Bureau. Fletcher Place Neighborhood Association. and Flanner and Buchanan Funeral Centers,http://www.hmdb.org/m.asp?m=1853
Camp Morton,Indianapolis,Marion County,1900 block N. Alabama Street,1962,Indiana Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=1855
Middletown,Middletown,Frederick County,,2003,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1862
Brunswick,Brunswick,Frederick County,100 South Maple Street,,,http://www.hmdb.org/m.asp?m=1863
Burkittsville,Burkittsville,Frederick County,3 East Main Street,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1864
Colonel Charles Russell Lowell,Middletown,Frederick County,,,,http://www.hmdb.org/m.asp?m=1868
In Commemoration,Middletown,Frederick County,,,Evangelical Lutheran Church Zion,http://www.hmdb.org/m.asp?m=1869
Ferry Hill Place,Sharpsburg,Washington County,,,Maryland Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=1877
Crampton s Gap Maryland Heights and Pleasant Valley,Boonsboro,Washington County,,,State Roads Commission,http://www.hmdb.org/m.asp?m=1879
Richwood Hall,Charles Town,Jefferson County,,1974,the West Virginia Department of Archives and History,http://www.hmdb.org/m.asp?m=1885
Washington Monument,Zittlestown,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1886
Battle for Crampton s Gap,Burkittsville,Frederick County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1909
Gettysburg Campaign,Boonsboro,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1913
Ishmael Day s House,Kingsville,Baltimore County,,1934,State Roads Commission,http://www.hmdb.org/m.asp?m=1927
George Alfred Townsend,Burkittsville,Frederick County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1931
Crossroads of History,Hagerstown,Washington County,,,,http://www.hmdb.org/m.asp?m=1934
Shepherdstown,Shepherdstown,Jefferson County,,,West Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=1939
Civil War Hospital Site,Shepherdstown,Jefferson County,,,Save Historic Antietam Foundation,http://www.hmdb.org/m.asp?m=1947
Civil War Hospital Site,Shepherdstown,Jefferson County,,,Save Historic Antietam Foundation,http://www.hmdb.org/m.asp?m=1948
Boteler s Ford Tablet B. F. 3,Shepherdstown,Jefferson County,,,,http://www.hmdb.org/m.asp?m=1951
Blackford s Ford,Sharpsburg,Washington County,,,Maryland Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=1953
A.P. Hill s March,Bakerton,Jefferson County,,,West Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=1955
1862 Antietam Campaign,Shepherdstown,Jefferson County,,,West Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=1957
1862 Antietam Campaign,Burkittsville,Frederick County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1958
Boteler s Ford Tablet B. F. 2,Shepherdstown,Jefferson County,,,,http://www.hmdb.org/m.asp?m=1959
Barnes Brigade,Shepherdstown,Jefferson County,,,,http://www.hmdb.org/m.asp?m=1960
118th Pennsylvania Infantry,Shepherdstown,Jefferson County,,,,http://www.hmdb.org/m.asp?m=1961
The Moler Family,Harpers Ferry,Jefferson County,,2001,,http://www.hmdb.org/m.asp?m=1962
Cobb s Brigade McLaw s Division C.S.A.,Burkittsville,Frederick County,,1992,Athens (Georgia) Historical Society,http://www.hmdb.org/m.asp?m=1964
Antietam Battlefield,Hagerstown,Washington County,,1958,Women of the Moose. Hagerstown. Maryland Chapter No. 842,http://www.hmdb.org/m.asp?m=1965
1862 Antietam Campaign,Sharpsburg,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1967
