Title,City or Town,County or Parish,Street Address,Year Erected,Erected By,Link
Counterattack,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=896
The Fight for Rickett s Guns,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=897
Outnumbered,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=899
Lincoln Under Fire at Fort Stevens,Brightwood,Washington,6001 13th Street Northwest,1920,The Associated Survivors Sixth Army Corps. Washington. D.C.,http://www.hmdb.org/m.asp?m=901
The Rock Fight,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=903
Home of Dr. Samuel Mudd,St. Charles,Charles County,,,the Charles County Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=920
Dr. Samuel A. Mudd,St. Charles,Charles County,,,,http://www.hmdb.org/m.asp?m=921
John Wilkes Booth,St. Charles,Charles County,,,,http://www.hmdb.org/m.asp?m=922
St. Mary s Church and Cemetery,Bryantown,Charles County,,,,http://www.hmdb.org/m.asp?m=924
Point Lookout Confederate Cemetery,Scotland,St. Marys County,,1911,,http://www.hmdb.org/m.asp?m=927
Gettysburg Campaign,Cooksville,Howard County,,,,http://www.hmdb.org/m.asp?m=935
Cooksville,Cooksville,Howard County,,,the Maryland Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=936
Cooksville,Cooksville,Howard County,,,,http://www.hmdb.org/m.asp?m=937
Point Lookout Confederate Cemetery,Scotland,St. Marys County,,1876,State of Maryland,http://www.hmdb.org/m.asp?m=943
Leonardtown,Leonardtown,St. Marys County,41625 Courthouse Drive,,,http://www.hmdb.org/m.asp?m=955
The Mural Story,Leonardtown,St. Marys County,,,,http://www.hmdb.org/m.asp?m=957
Camp Anderson,Michigan City,LaPorte County,2404 E. Michigan Blvd.,1996,the Indiana Historical Bureau and McDonalds Restaurant,http://www.hmdb.org/m.asp?m=969
Keyes Gap,Harpers Ferry,Jefferson County,,,West Virginia Department of Archives and History,http://www.hmdb.org/m.asp?m=981
Site of Belle Boyd Home,Martinsburg,Berkeley County,,,,http://www.hmdb.org/m.asp?m=982
Battle of Ball s Bluff,Leesburg,Loudoun County,,1928,the Conservation & Development Commission,http://www.hmdb.org/m.asp?m=985
Sharpsburg (Antietam) Campaign,Leesburg,Loudoun County,,1935,the Conservation & Development Commission,http://www.hmdb.org/m.asp?m=986
Major General Lew Wallace,Crawfordsville,Montgomery County,200 Wallace Avenue,1963,the Indiana Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=992
Point Lookout Prisoner-Of-War Camp,Scotland,St. Marys County,,,the Maryland Historical Trust and the Maryland State Highway Administration,http://www.hmdb.org/m.asp?m=998
John Wilkes Booth,Scotland,St. Marys County,,,,http://www.hmdb.org/m.asp?m=1000
Point Lookout State Park,Scotland,St. Marys County,,,,http://www.hmdb.org/m.asp?m=1001
Early s Washington Campaign,Leesburg,Loudoun County,,1982,the Virginia Historic Landmarks Commission,http://www.hmdb.org/m.asp?m=1003
